file_name,variable,units,description
classified_coordinates.csv,lat,decimal degrees,latitude of NEON site
classified_coordinates.csv,long,decimal degrees,longitude of NEON site
classified_coordinates.csv,siteID,character,NEON site name
dat_2022_clauset.rds,collect_date,"""yyyy-mm-dd""",Date of collection
dat_2022_clauset.rds,dw,milligrams dry mass,individual dry mass of macroinvertebrates and fish
dat_2022_clauset.rds,log_gpp_s,unit scale: standard deviations from the mean of natural log-transformed data,"standardized (z-score) of natural log-transformed gross primary production. Raw values and conversion factors are in ""data/predictors.csv"""
dat_2022_clauset.rds,log_om_s,unit scale: standard deviations from the mean of natural log-transformed data,"standardized (z-score) of natural log-transformed organic matter. Raw values and conversion factors are in ""data/predictors.csv"""
dat_2022_clauset.rds,mat_s,unit scale: standard deviations from the mean,"standardized (z-score) mean annual temperature. Raw values and conversion factors are in ""data/predictors.csv"""
dat_2022_clauset.rds,no_m2,number per square meter,density of each individual dry mass value
dat_2022_clauset.rds,sample_id,integer,unique number representing replicate samples. Each number corresponds to a unique collection date and site
dat_2022_clauset.rds,site_id,string,four-letter NEON site code
dat_2022_clauset.rds,xmax,milligrams dry mass,maximum body size per sample_id in milligrams dry mass
dat_2022_clauset.rds,xmin,milligrams dry mass,minimum body size per sample_id in milligrams dry mass
dat_2022_clauset.rds,year,integer,year of collection
dat_2022_clauset_surber.rds,collect_date,"""yyyy-mm-dd""",Date of collection
dat_2022_clauset_surber.rds,dw,milligrams dry mass,individual dry mass of macroinvertebrates and fish
dat_2022_clauset_surber.rds,gpp,grams of carbon per square meter per year,Gross Primary Production (gC/m2/y)
dat_2022_clauset_surber.rds,log_gpp_s,unit scale: standard deviations from the mean of natural log-transformed data,"standardized (z-score) of natural log-transformed gross primary production. Raw values and conversion factors are in ""data/predictors.csv"""
dat_2022_clauset_surber.rds,log_om_s,unit scale: standard deviations from the mean of natural log-transformed data,"standardized (z-score) of natural log-transformed organic matter. Raw values and conversion factors are in ""data/predictors.csv"""
dat_2022_clauset_surber.rds,mat_s,unit scale: standard deviations from the mean,"standardized (z-score) mean annual temperature. Raw values and conversion factors are in ""data/predictors.csv"""
dat_2022_clauset_surber.rds,no_m2,number per square meter,density of each individual dry mass value
dat_2022_clauset_surber.rds,om,grams per square meter,ash-free dry mass standing stock
dat_2022_clauset_surber.rds,sample_id,integer,unique number representing replicate samples. Each number corresponds to a unique collection date and site
dat_2022_clauset_surber.rds,site_id,string,four-letter NEON site code
dat_2022_clauset_surber.rds,temp_deg_c,degrees celsius,mean annual stream temperature
dat_2022_clauset_surber.rds,xmax,milligrams dry mass,maximum body size per sample_id in milligrams dry mass
dat_2022_clauset_surber.rds,xmin,milligrams dry mass,minimum body size per sample_id in milligrams dry mass
dat_2022_clauset_surber.rds,xmin_clauset,milligrams dry mass,minimum body size per sample_id in milligrams dry mass as estimated by estimate_xmin() function
dat_2022_clauset_surber.rds,year,integer,year of collection
dat_2022_fish_clauset.rds,collect_date,"""yyyy-mm-dd""",Date of collection
dat_2022_fish_clauset.rds,dw,milligrams dry mass,individual dry mass of macroinvertebrates and fish
dat_2022_fish_clauset.rds,log_gpp_s,unit scale: standard deviations from the mean of natural log-transformed data,"standardized (z-score) of natural log-transformed gross primary production. Raw values and conversion factors are in ""data/predictors.csv"""
dat_2022_fish_clauset.rds,log_om_s,unit scale: standard deviations from the mean of natural log-transformed data,"standardized (z-score) of natural log-transformed organic matter. Raw values and conversion factors are in ""data/predictors.csv"""
dat_2022_fish_clauset.rds,mat_s,unit scale: standard deviations from the mean,"standardized (z-score) mean annual temperature. Raw values and conversion factors are in ""data/predictors.csv"""
dat_2022_fish_clauset.rds,no_m2,number per square meter,density of each individual dry mass value
dat_2022_fish_clauset.rds,sample_id,integer,unique number representing replicate samples. Each number corresponds to a unique collection date and site
dat_2022_fish_clauset.rds,site_id,string,four-letter NEON site code
dat_2022_fish_clauset.rds,taxon,string,"id for ""fish"" of ""macro"""
dat_2022_fish_clauset.rds,xmax,milligrams dry mass,maximum body size per sample_id in milligrams dry mass
dat_2022_fish_clauset.rds,xmin,milligrams dry mass,minimum body size per sample_id in milligrams dry mass
dat_2022_fish_clauset.rds,xmin_clauset,milligrams dry mass,minimum body size per sample_id in milligrams dry mass as estimated by estimate_xmin() function
dat_2022_fish_clauset.rds,year,integer,year of collection
dat_2022_macros_clauset.rds,collect_date,"""yyyy-mm-dd""",Date of collection
dat_2022_macros_clauset.rds,dw,milligrams dry mass,individual dry mass of macroinvertebrates and fish
dat_2022_macros_clauset.rds,log_gpp_s,unit scale: standard deviations from the mean of natural log-transformed data,"standardized (z-score) of natural log-transformed gross primary production. Raw values and conversion factors are in ""data/predictors.csv"""
dat_2022_macros_clauset.rds,log_om_s,unit scale: standard deviations from the mean of natural log-transformed data,"standardized (z-score) of natural log-transformed organic matter. Raw values and conversion factors are in ""data/predictors.csv"""
dat_2022_macros_clauset.rds,macro_id,integer,id for individual macroinvertebrate collection
dat_2022_macros_clauset.rds,mat_s,unit scale: standard deviations from the mean,"standardized (z-score) mean annual temperature. Raw values and conversion factors are in ""data/predictors.csv"""
dat_2022_macros_clauset.rds,no_m2,number per square meter,density of each individual dry mass value
dat_2022_macros_clauset.rds,sample_id,integer,unique number representing replicate samples. Each number corresponds to a unique collection date and site
dat_2022_macros_clauset.rds,site_id,string,four-letter NEON site code
dat_2022_macros_clauset.rds,xmax,milligrams dry mass,maximum body size per sample_id in milligrams dry mass
dat_2022_macros_clauset.rds,xmin,milligrams dry mass,minimum body size per sample_id in milligrams dry mass
dat_2022_macros_clauset.rds,xmin_clauset,milligrams dry mass,minimum body size per sample_id in milligrams dry mass as estimated by estimate_xmin() function
dat_2022_macros_clauset.rds,year,integer,year of collection
dat_2024_macros.rds,collect_date,"""yyyy-mm-dd""",Date of collection
dat_2024_macros.rds,dw,milligrams dry mass,individual dry mass of macroinvertebrates and fish
dat_2024_macros.rds,macro_id,integer,id for individual macroinvertebrate collection
dat_2024_macros.rds,no_m2,number per square meter,density of each individual dry mass value
dat_2024_macros.rds,site_id,string,four-letter NEON site code
dat_2024_surber.rds,collect_date,"""yyyy-mm-dd""",Date of collection
dat_2024_surber.rds,dw,milligrams dry mass,individual dry mass of macroinvertebrates and fish
dat_2024_surber.rds,no_m2,number per square meter,density of each individual dry mass value
dat_2024_surber.rds,sample_id,integer,unique number representing replicate samples. Each number corresponds to a unique collection date and site
dat_2024_surber.rds,site_id,string,four-letter NEON site code
fish.rds,NA,list,"raw downloaded NEON fish electrofishing data with 12 list objects. For full description, see: https://data.neonscience.org/data-products/DP1.20107.001"
fish_density.rds,1,integer,number of fish caught in electrofishing pass 1
fish_density.rds,2,integer,number of fish caught in electrofishing pass 2
fish_density.rds,3,integer,number of fish caught in electrofishing pass 3
fish_density.rds,.lower_threepass,numeric,lower 95% CrI of total number of fish in reach (not corrected for area)
fish_density.rds,.upper_threepass,numeric,lower 95% CrI of total number of fish in reach (not corrected for area)
fish_density.rds,area_m2,square meters,area of stream sampled
fish_density.rds,boutEndDate,"""yyyy-mm-dd hh:mm:ss""",End date of electrofishing
fish_density.rds,domainID,string,Unique identifier of the NEON domain
fish_density.rds,eventID,string,"An identifier for the set of information associated with the event, which includes information about the place and time of the event"
fish_density.rds,increased,string,Identifier (Y/N) indicating if the number of fish increased in the 3rd pass versus the 1st pass.
fish_density.rds,mean_wetted_width_m,meters,mean wetted width of NEON stream sampling site
fish_density.rds,measuredReachLength,meters,length of reach sampled per three-pass removal sampling
fish_density.rds,n,integer,count
fish_density.rds,namedLocation,string,Name of the measurement location in the NEON database
fish_density.rds,no_fish_per_m2,numeric,Posterior median of total number of fish per square meter
fish_density.rds,no_fish_per_m2_lower,numeric,lower 95% CrI of total number of fish per square meter
fish_density.rds,no_fish_per_m2_upper,numeric,lower 95% CrI of total number of fish per square meter
fish_density.rds,pop_threepass,numeric,Posterior median of total number of fish in reach (not corrected for area)
fish_density.rds,raw_total_per_m2,numeric,Sum of the three pass totals divided by area_m2
fish_density.rds,sd_wetted_width_m,standard deviation,standard deviation of wetted width measures of NEON stream
fish_density.rds,site_int,integer,sample id for electrofishing
fish_density.rds,siteID,string,NEON site name
fish_density.rds,targetTaxaPresent,string,Indicator of whether the sample contained individuals of the target taxa
fish_density.rds,total_fish,integer,sum number of fish across all 3 passes
fish_dw_sizeonly.rds,boutEndDate,"""yyyy-mm-dd hh:mm:ss""",The end date of the entire bout
fish_dw_sizeonly.rds,dw,milligrams dry mass,individual dry mass of macroinvertebrates and fish
fish_dw_sizeonly.rds,no_fish_per_m2,numeric,Posterior median of total number of fish per square meter
fish_dw_sizeonly.rds,no_fish_per_m2_lower,numeric,lower 95% CrI of total number of fish per square meter
fish_dw_sizeonly.rds,no_fish_per_m2_upper,numeric,lower 95% CrI of total number of fish per square meter
fish_dw_sizeonly.rds,no_m2,number per square meter,density of each individual dry mass value
fish_dw_sizeonly.rds,site_int,integer,sample id for electrofishing
fish_dw_sizeonly.rds,siteID,character,NEON site name
macro.rds,NA,list,"raw downloaded NEON benthic macroinvertebrate data with 10 list objects. For full description, see: https://data.neonscience.org/data-products/DP1.20120.001"
macro_dw_raw.rds,a,numeric,"parameter for length mass regression equation: 
M = aL^b"
macro_dw_raw.rds,acceptedTaxonID,string,"Accepted species code, based on one or more sources"
macro_dw_raw.rds,b,numeric,"parameter for length mass regression equation: 
M = aL^b"
macro_dw_raw.rds,benthicArea,square meters,Area of the benthos sampled
macro_dw_raw.rds,class,string,The scientific name of the class in which the taxon is classified
macro_dw_raw.rds,collectDate,"""yyyy-mm-dd""",Date of collection
macro_dw_raw.rds,dataQF,string,Data quality flag
macro_dw_raw.rds,distinctTaxon,string,"y/n: Taxon is known to be distinct within the sample, used for species richness metrics"
macro_dw_raw.rds,domainID,string,Unique identifier of the NEON domain
macro_dw_raw.rds,dw,milligrams dry mass,individual dry mass of macroinvertebrates and fish
macro_dw_raw.rds,dw_units,string,units of dry mass of macroinvertebrates and fish
macro_dw_raw.rds,estimatedTotalCount,numeric,"Estimated total count of individuals within a sample, of given taxon, life stage, and size class"
macro_dw_raw.rds,family,string,The scientific name of the family in which the taxon is classified
macro_dw_raw.rds,formula,string,length mass regression equation
macro_dw_raw.rds,formula_type,integer,"1 = M = aL^b, 2 = M = exp(a + b log(L)"
macro_dw_raw.rds,genus,string,The scientific name of the genus in which the organism is classified
macro_dw_raw.rds,identificationHistoryID,string,Identifier for linking records related to this identification history
macro_dw_raw.rds,identificationQualifier,string,A standard term to express the determiner's doubts about the Identification
macro_dw_raw.rds,identificationReferences,string,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used"
macro_dw_raw.rds,identificationRemarks,string,Comments or notes about the identification
macro_dw_raw.rds,identifiedBy,string,An identifier for the technician who identified the specimen
macro_dw_raw.rds,identifiedDate,dateTime,"Date on which the sample, individual, or specimen was identified"
macro_dw_raw.rds,immatureSpecimen,string,Sample contains immature specimen(s) for which target level of identification cannot be achieved
macro_dw_raw.rds,indeterminateSpecies,string,"Sample contains specimen(s) not well-described in the literature, not all taxa for a group are included in the literature, or observed characters are such that they do not fit described taxa. See accompanying identificationRemarks"
macro_dw_raw.rds,individualCount,unsigned integer,Number of individuals of the same type
macro_dw_raw.rds,infraclass,string,The scientific name of the infraclass in which the taxon is classified
macro_dw_raw.rds,infraorder,string,The scientific name of the infraorder in which the taxon is classified
macro_dw_raw.rds,infraspecificEpithet,string,The infraspecific epithet (scientific name below the rank of species) of the scientific name applied to the taxon
macro_dw_raw.rds,invertebrateLifeStage,string,"Macroinvertebrate stage of development (larva, pupa, adult)"
macro_dw_raw.rds,L_units,string,Units of length (mm)
macro_dw_raw.rds,laboratoryName,string,Name of the laboratory or facility that is processing the sample
macro_dw_raw.rds,morphospeciesID,string,Identifier for morphospecies
macro_dw_raw.rds,namedLocation,string,Name of the measurement location in the NEON database
macro_dw_raw.rds,no_m2,numeric,number of individuals per square meter: round(estimatedTotalCount / benthicArea)
macro_dw_raw.rds,order,string,The scientific name of the order in which the taxon is classified
macro_dw_raw.rds,phylum,string,The scientific name of the phylum or division in which the taxon is classified
macro_dw_raw.rds,publicationDate,dateTime,Date of data publication on the NEON data portal
macro_dw_raw.rds,qcChecked,string,Whether or not QC procedure was performed
macro_dw_raw.rds,release,string,Identifier for data release
macro_dw_raw.rds,sampleCode,string,Barcode of a sample
macro_dw_raw.rds,sampleCondition,string,Condition of a sample
macro_dw_raw.rds,sampleID,string,Identifier for sample
macro_dw_raw.rds,scientificName,string,"Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined"
macro_dw_raw.rds,siteID,string,NEON site code
macro_dw_raw.rds,sizeCategory,string,Categorical size class of an individual or sample
macro_dw_raw.rds,sizeClass,unsigned integer,Size class of individual(s)
macro_dw_raw.rds,slideID,string,Unique identifier associated with each slide per sampleID or subsampleID
macro_dw_raw.rds,specificEpithet,string,The specific epithet (second part of the species name) of the scientific name applied to the taxon
macro_dw_raw.rds,subclass,string,The scientific name of the subclass in which the taxon is classified
macro_dw_raw.rds,subfamily,string,The scientific name of the subfamily in which the organism is classified
macro_dw_raw.rds,suborder,string,The scientific name of the suborder in which the taxon is classified
macro_dw_raw.rds,subphylum,string,The scientific name of the subphylum in which the taxon is classified
macro_dw_raw.rds,subsamplePercent,real,Percent of the total sample contained in the subsample
macro_dw_raw.rds,subtribe,string,The scientific name of the subtribe in which the taxon is classified
macro_dw_raw.rds,superfamily,string,The scientific name of the superfamily in which the taxon is classified
macro_dw_raw.rds,superorder,string,The scientific name of the superorder in which the taxon is classified
macro_dw_raw.rds,targetTaxaPresent,string,Indicator of whether the sample contained individuals of the target taxa
macro_dw_raw.rds,taxonDatabaseID,string,Unique identifier for the taxon within the database
macro_dw_raw.rds,taxonDatabaseName,string,Name of the taxonomic database
macro_dw_raw.rds,taxonRank,string,The lowest level taxonomic rank that can be determined for the individual or specimen
macro_dw_raw.rds,taxonRankQualifier,string,Reason why the specimen is not identified to a lower taxonomic rank
macro_dw_raw.rds,tribe,string,The scientific name of the tribe in which the taxon is classified
macro_dw_raw.rds,uid,string,Unique ID within NEON database; an identifier for the record
macro_dw_sizebytaxa.rds,acceptedTaxonID,string,"Accepted species code, based on one or more sources"
macro_dw_sizebytaxa.rds,collectDate,"""yyyy-mm-dd""",Date of collection
macro_dw_sizebytaxa.rds,dw,milligrams dry mass,individual dry mass of macroinvertebrates and fish
macro_dw_sizebytaxa.rds,family,string,The scientific name of the family in which the taxon is classified
macro_dw_sizebytaxa.rds,genus,string,The scientific name of the genus in which the organism is classified
macro_dw_sizebytaxa.rds,no_m2,number per square meter,density of each individual dry mass value
macro_dw_sizebytaxa.rds,siteID,character,NEON site name
macro_dw_sizeonly.rds,collectDate,"""yyyy-mm-dd""",Date of collection
macro_dw_sizeonly.rds,dw,milligrams dry mass,individual dry mass of macroinvertebrates and fish
macro_dw_sizeonly.rds,no_m2,number per square meter,density of each individual dry mass value
macro_dw_sizeonly.rds,siteID,character,NEON site name
macro_lw_coeffs.csv,a,numeric,"parameter for length mass regression equation: 
M = aL^b"
macro_lw_coeffs.csv,a_max,numeric,"maximum parameter for length mass regression equation: 
M = aL^b"
macro_lw_coeffs.csv,a_min,numeric,"minimum parameter for length mass regression equation: 
M = aL^b"
macro_lw_coeffs.csv,a_SE,numeric,"standard error parameter for length mass regression equation: 
M = aL^b"
macro_lw_coeffs.csv,b,numeric,"parameter for length mass regression equation: 
M = aL^b"
macro_lw_coeffs.csv,b_max,numeric,"maximum parameter for length mass regression equation: 
M = aL^b"
macro_lw_coeffs.csv,b_min,numeric,"minimum parameter for length mass regression equation: 
M = aL^b"
