site_id,temp_mean,temp_sd,gpp,gpp_sd,mean_om,sd_om
ARIK,11.50884583,8.053019375,1728.316732,396.1329472,5.0506,3.691945926
BIGC,10.3190234,4.569686397,727.3088299,194.4402668,3.536917563,1.673187844
CARI,0.949125686,2.040730265,352.5728836,44.48532327,2.985,1.223294731
GUIL,21.05085251,1.72563307,4234.547877,1573.481672,3.463978495,4.196260565
HOPB,8.821110411,6.744712758,540.9273011,197.6235946,4.712903226,5.144391916
KING,12.49201369,4.65722117,1919.190969,579.7334078,92.28709677,125.8361145
LECO,12.51564685,4.640500568,1402.302708,387.4837406,3.065591398,1.13289151
MART,8.272099859,3.697509208,891.0590678,311.8494482,4.62311828,1.144296458
OKSR,1.021887467,3.091780146,420.2104261,256.1022752,4.1432626,2.142904919
REDB,5.722501861,4.304549203,821.1400938,325.8330526,1.0946,1.547998165
WALK,13.91533822,2.750664519,403.1074774,39.59147017,45.9172043,NA
WLOU,2.422625522,2.883138523,351.2191651,88.03240666,19.28709677,6.66505166
LEWI,12.69602402,4.410815237,4828.134055,822.8949807,377.0833333,418.0179588
TECR,5.676901302,4.809067009,350.3385623,182.2499128,35.15483871,21.13869111
BLUE,15.68485696,4.448440752,7924.926408,2535.784799,1.691,0.430203766
CUPE,22.9423125,1.138075208,3343.630404,298.2628669,1.020967742,0.662247319
MCDI,12.50533436,6.650692129,1572.678365,1205.057879,5.458064516,7.718868863
MCRA,6.768817126,3.56635879,1719.134131,308.4893353,7.367204301,3.952955006
POSE,11.95461461,6.695676024,250.2332718,48.36693702,12.10645161,13.3042521
PRIN,16.93054758,7.34142246,2479.084775,556.8809415,20.48333333,22.67455745
SYCA,19.28638731,5.90005148,11957.14009,4169.21562,18.05752688,15.78672914
BLDE,4.416168153,5.155779871,907.3532379,270.0419647,5.156989247,3.500558732
